,property_id,check_in_date,room_category,successful_bookings,capacity
77,19558,2022-05-01,rt2,25,39
78,19558,2022-05-01,rt3,13,21
79,19558,2022-05-01,rt4,4,7
80,19559,2022-05-01,rt1,18,24
81,19559,2022-05-01,rt2,32,41
82,19559,2022-05-01,rt3,19,27
83,19559,2022-05-01,rt4,2,3
84,19560,2022-05-01,rt1,23,26
85,19560,2022-05-01,rt2,37,38
86,19560,2022-05-01,rt3,16,19
87,19560,2022-05-01,rt4,15,16
88,19561,2022-05-01,rt1,25,36
89,19561,2022-05-01,rt2,35,45
90,19561,2022-05-01,rt3,23,29
91,19561,2022-05-01,rt4,5,7
92,19562,2022-05-01,rt1,28,30
93,19562,2022-05-01,rt2,23,23
94,19562,2022-05-01,rt3,25,29
95,19562,2022-05-01,rt4,13,14
96,19563,2022-05-01,rt1,23,30
97,19563,2022-05-01,rt2,36,45
98,19563,2022-05-01,rt3,20,29
99,19563,2022-05-01,rt4,4,6
100,16558,2022-05-02,rt1,12,19
101,16558,2022-05-02,rt2,14,22
102,16558,2022-05-02,rt3,5,8
103,16558,2022-05-02,rt4,2,3
104,16559,2022-05-02,rt1,20,30
105,16559,2022-05-02,rt2,23,41
106,16559,2022-05-02,rt3,20,32
107,16559,2022-05-02,rt4,12,18
108,16560,2022-05-02,rt1,17,34
109,16560,2022-05-02,rt2,17,34
110,16560,2022-05-02,rt3,10,20
111,16560,2022-05-02,rt4,3,7
112,16561,2022-05-02,rt1,11,18
113,16561,2022-05-02,rt2,16,24
114,16561,2022-05-02,rt3,13,21
115,16561,2022-05-02,rt4,6,10
116,16562,2022-05-02,rt1,17,31
117,16562,2022-05-02,rt2,21,43
118,16562,2022-05-02,rt3,11,18
119,16562,2022-05-02,rt4,3,6
120,16563,2022-05-02,rt1,25,41
121,16563,2022-05-02,rt2,23,38
122,16563,2022-05-02,rt3,13,20
123,16563,2022-05-02,rt4,12,18
124,17558,2022-05-02,rt1,10,19
125,17558,2022-05-02,rt2,27,50
126,17558,2022-05-02,rt3,12,27
127,17558,2022-05-02,rt4,4,6
128,17559,2022-05-02,rt1,20,32
129,17559,2022-05-02,rt2,26,39
130,17559,2022-05-02,rt3,9,16
131,17559,2022-05-02,rt4,8,14
132,17560,2022-05-02,rt1,22,40
133,17560,2022-05-02,rt2,23,45
134,17560,2022-05-02,rt3,13,25
135,17560,2022-05-02,rt4,6,13
136,17561,2022-05-02,rt1,15,26
137,17561,2022-05-02,rt2,23,36
138,17561,2022-05-02,rt3,10,19
139,17561,2022-05-02,rt4,3,4
140,17562,2022-05-02,rt1,9,20
141,17562,2022-05-02,rt2,14,30
142,17562,2022-05-02,rt3,12,27
143,17562,2022-05-02,rt4,3,6
144,17563,2022-05-02,rt1,15,25
145,17563,2022-05-02,rt2,28,44
146,17563,2022-05-02,rt3,9,16
147,17563,2022-05-02,rt4,12,19
148,17564,2022-05-02,rt1,7,16
149,17564,2022-05-02,rt2,16,40
150,17564,2022-05-02,rt3,9,24
151,17564,2022-05-02,rt4,6,17
152,18558,2022-05-02,rt1,8,15
153,18558,2022-05-02,rt2,14,30
154,18558,2022-05-02,rt3,15,26
155,18558,2022-05-02,rt4,10,20
156,18559,2022-05-02,rt1,17,42
157,18559,2022-05-02,rt2,18,44
158,18559,2022-05-02,rt3,9,23
159,18559,2022-05-02,rt4,9,19
160,18560,2022-05-02,rt1,21,30
161,18560,2022-05-02,rt2,26,40
162,18560,2022-05-02,rt3,14,24
163,18560,2022-05-02,rt4,11,15
164,18561,2022-05-02,rt1,24,33
165,18561,2022-05-02,rt2,25,40
166,18561,2022-05-02,rt3,18,25
167,18561,2022-05-02,rt4,5,9
168,18562,2022-05-02,rt1,22,38
169,18562,2022-05-02,rt2,17,34
170,18562,2022-05-02,rt3,18,29
171,18562,2022-05-02,rt4,12,20
172,18563,2022-05-02,rt1,14,27
173,18563,2022-05-02,rt2,15,29
174,18563,2022-05-02,rt3,11,23
175,18563,2022-05-02,rt4,11,18
176,19558,2022-05-02,rt1,16,40
177,19558,2022-05-02,rt2,17,39
178,19558,2022-05-02,rt3,9,21
179,19558,2022-05-02,rt4,4,7
180,19559,2022-05-02,rt1,13,24
181,19559,2022-05-02,rt2,19,41
182,19559,2022-05-02,rt3,14,27
183,19559,2022-05-02,rt4,2,3
184,19560,2022-05-02,rt1,14,26
185,19560,2022-05-02,rt2,21,38
186,19560,2022-05-02,rt3,11,19
187,19560,2022-05-02,rt4,11,16
188,19561,2022-05-02,rt1,20,36
189,19561,2022-05-02,rt2,22,45
190,19561,2022-05-02,rt3,17,29
191,19561,2022-05-02,rt4,4,7
192,19562,2022-05-02,rt1,20,30
193,19562,2022-05-02,rt2,15,23
194,19562,2022-05-02,rt3,18,29
195,19562,2022-05-02,rt4,8,14
196,19563,2022-05-02,rt1,14,30
197,19563,2022-05-02,rt2,20,45
198,19563,2022-05-02,rt3,14,29
199,19563,2022-05-02,rt4,4,6
200,16558,2022-05-03,rt1,14,19
201,16558,2022-05-03,rt2,14,22
202,16558,2022-05-03,rt3,5,8
203,16558,2022-05-03,rt4,2,3
204,16559,2022-05-03,rt1,17,30
205,16559,2022-05-03,rt2,26,41
206,16559,2022-05-03,rt3,21,32
207,16559,2022-05-03,rt4,11,18
208,16560,2022-05-03,rt1,19,34
209,16560,2022-05-03,rt2,16,34
210,16560,2022-05-03,rt3,10,20
211,16560,2022-05-03,rt4,3,7
212,16561,2022-05-03,rt1,10,18
213,16561,2022-05-03,rt2,16,24
214,16561,2022-05-03,rt3,13,21
215,16561,2022-05-03,rt4,7,10
216,16562,2022-05-03,rt1,14,31
217,16562,2022-05-03,rt2,19,43
218,16562,2022-05-03,rt3,8,18
219,16562,2022-05-03,rt4,3,6
220,16563,2022-05-03,rt1,25,41
221,16563,2022-05-03,rt2,24,38
222,16563,2022-05-03,rt3,13,20
223,16563,2022-05-03,rt4,11,18
224,17558,2022-05-03,rt1,9,19
225,17558,2022-05-03,rt2,26,50
226,17558,2022-05-03,rt3,15,27
227,17558,2022-05-03,rt4,3,6
228,17559,2022-05-03,rt1,20,32
229,17559,2022-05-03,rt2,24,39
230,17559,2022-05-03,rt3,10,16
231,17559,2022-05-03,rt4,10,14
232,17560,2022-05-03,rt1,19,40
233,17560,2022-05-03,rt2,22,45
234,17560,2022-05-03,rt3,11,25
235,17560,2022-05-03,rt4,7,13
236,17561,2022-05-03,rt1,16,26
237,17561,2022-05-03,rt2,23,36
238,17561,2022-05-03,rt3,12,19
239,17561,2022-05-03,rt4,3,4
240,17562,2022-05-03,rt1,10,20
241,17562,2022-05-03,rt2,15,30
242,17562,2022-05-03,rt3,12,27
243,17562,2022-05-03,rt4,2,6
244,17563,2022-05-03,rt1,16,25
245,17563,2022-05-03,rt2,30,44
246,17563,2022-05-03,rt3,10,16
247,17563,2022-05-03,rt4,11,19
248,17564,2022-05-03,rt1,6,16
249,17564,2022-05-03,rt2,16,40
250,17564,2022-05-03,rt3,11,24
251,17564,2022-05-03,rt4,7,17
252,18558,2022-05-03,rt1,8,15
253,18558,2022-05-03,rt2,16,30
254,18558,2022-05-03,rt3,13,26
255,18558,2022-05-03,rt4,10,20
256,18559,2022-05-03,rt1,18,42
257,18559,2022-05-03,rt2,19,44
258,18559,2022-05-03,rt3,9,23
259,18559,2022-05-03,rt4,9,19
260,18560,2022-05-03,rt1,19,30
261,18560,2022-05-03,rt2,25,40
262,18560,2022-05-03,rt3,15,24
263,18560,2022-05-03,rt4,9,15
264,18561,2022-05-03,rt1,19,33
265,18561,2022-05-03,rt2,25,40
266,18561,2022-05-03,rt3,15,25
267,18561,2022-05-03,rt4,5,9
268,18562,2022-05-03,rt1,23,38
269,18562,2022-05-03,rt2,22,34
270,18562,2022-05-03,rt3,17,29
271,18562,2022-05-03,rt4,12,20
272,18563,2022-05-03,rt1,13,27
273,18563,2022-05-03,rt2,14,29
274,18563,2022-05-03,rt3,11,23
275,18563,2022-05-03,rt4,8,18
276,19558,2022-05-03,rt1,20,40
277,19558,2022-05-03,rt2,16,39
278,19558,2022-05-03,rt3,9,21
279,19558,2022-05-03,rt4,3,7
280,19559,2022-05-03,rt1,12,24
281,19559,2022-05-03,rt2,22,41
282,19559,2022-05-03,rt3,14,27
283,19559,2022-05-03,rt4,1,3
284,19560,2022-05-03,rt1,14,26
285,19560,2022-05-03,rt2,25,38
286,19560,2022-05-03,rt3,12,19
287,19560,2022-05-03,rt4,10,16
288,19561,2022-05-03,rt1,20,36
289,19561,2022-05-03,rt2,21,45
290,19561,2022-05-03,rt3,14,29
291,19561,2022-05-03,rt4,4,7
292,19562,2022-05-03,rt1,19,30
293,19562,2022-05-03,rt2,14,23
294,19562,2022-05-03,rt3,18,29
295,19562,2022-05-03,rt4,9,14
296,19563,2022-05-03,rt3,15,29
297,19563,2022-05-03,rt1,15,30
298,19563,2022-05-03,rt2,23,45
299,19563,2022-05-03,rt4,4,6
300,16558,2022-05-04,rt1,13,19
301,16558,2022-05-04,rt2,14,22
302,16558,2022-05-04,rt3,6,8
303,16558,2022-05-04,rt4,2,3
304,16559,2022-05-04,rt2,28,41
305,16559,2022-05-04,rt1,21,30
306,16559,2022-05-04,rt3,19,32
307,16559,2022-05-04,rt4,11,18
308,16560,2022-05-04,rt1,17,34
309,16560,2022-05-04,rt2,20,34
310,16560,2022-05-04,rt3,10,20
311,16560,2022-05-04,rt4,3,7
312,16561,2022-05-04,rt1,11,18
313,16561,2022-05-04,rt2,15,24
314,16561,2022-05-04,rt3,14,21
315,16561,2022-05-04,rt4,5,10
316,16562,2022-05-04,rt1,16,31
317,16562,2022-05-04,rt2,21,43
318,16562,2022-05-04,rt3,11,18
319,16562,2022-05-04,rt4,3,6
320,16563,2022-05-04,rt1,28,41
321,16563,2022-05-04,rt2,23,38
322,16563,2022-05-04,rt3,12,20
323,16563,2022-05-04,rt4,12,18
324,17558,2022-05-04,rt1,9,19
325,17558,2022-05-04,rt2,27,50
326,17558,2022-05-04,rt3,12,27
327,17558,2022-05-04,rt4,3,6
328,17559,2022-05-04,rt1,19,32
329,17559,2022-05-04,rt2,23,39
330,17559,2022-05-04,rt3,12,16
331,17559,2022-05-04,rt4,9,14
332,17560,2022-05-04,rt1,22,40
333,17560,2022-05-04,rt2,20,45
334,17560,2022-05-04,rt3,14,25
335,17560,2022-05-04,rt4,6,13
336,17561,2022-05-04,rt1,15,26
337,17561,2022-05-04,rt2,21,36
338,17561,2022-05-04,rt3,10,19
339,17561,2022-05-04,rt4,3,4
340,17562,2022-05-04,rt1,9,20
341,17562,2022-05-04,rt2,11,30
342,17562,2022-05-04,rt3,9,27
343,17562,2022-05-04,rt4,2,6
344,17563,2022-05-04,rt1,16,25
345,17563,2022-05-04,rt2,29,44
346,17563,2022-05-04,rt3,8,16
347,17563,2022-05-04,rt4,11,19
348,17564,2022-05-04,rt1,7,16
349,17564,2022-05-04,rt2,18,40
350,17564,2022-05-04,rt3,8,24
351,17564,2022-05-04,rt4,9,17
352,18558,2022-05-04,rt1,7,15
353,18558,2022-05-04,rt2,16,30
354,18558,2022-05-04,rt3,14,26
355,18558,2022-05-04,rt4,11,20
356,18559,2022-05-04,rt1,18,42
357,18559,2022-05-04,rt2,19,44
358,18559,2022-05-04,rt3,10,23
359,18559,2022-05-04,rt4,8,19
360,18560,2022-05-04,rt1,20,30
361,18560,2022-05-04,rt2,28,40
362,18560,2022-05-04,rt3,17,24
363,18560,2022-05-04,rt4,10,15
364,18561,2022-05-04,rt1,22,33
365,18561,2022-05-04,rt2,25,40
366,18561,2022-05-04,rt3,16,25
367,18561,2022-05-04,rt4,4,9
368,18562,2022-05-04,rt1,25,38
369,18562,2022-05-04,rt2,22,34
370,18562,2022-05-04,rt3,16,29
371,18562,2022-05-04,rt4,12,20
372,18563,2022-05-04,rt1,16,27
373,18563,2022-05-04,rt2,16,29
374,18563,2022-05-04,rt3,11,23
375,18563,2022-05-04,rt4,8,18
376,19558,2022-05-04,rt1,15,40
377,19558,2022-05-04,rt2,18,39
378,19558,2022-05-04,rt3,9,21
379,19558,2022-05-04,rt4,3,7
380,19559,2022-05-04,rt1,12,24
381,19559,2022-05-04,rt2,22,41
382,19559,2022-05-04,rt3,14,27
383,19559,2022-05-04,rt4,2,3
384,19560,2022-05-04,rt1,16,26
385,19560,2022-05-04,rt2,21,38
386,19560,2022-05-04,rt3,11,19
387,19560,2022-05-04,rt4,11,16
388,19561,2022-05-04,rt1,16,36
389,19561,2022-05-04,rt2,21,45
390,19561,2022-05-04,rt3,13,29
391,19561,2022-05-04,rt4,3,7
392,19562,2022-05-04,rt1,17,30
393,19562,2022-05-04,rt2,14,23
394,19562,2022-05-04,rt3,20,29
395,19562,2022-05-04,rt4,8,14
396,19563,2022-05-04,rt3,15,29
397,19563,2022-05-04,rt1,14,30
398,19563,2022-05-04,rt2,20,45
399,19563,2022-05-04,rt4,3,6
400,16558,2022-05-05,rt1,12,19
401,16558,2022-05-05,rt2,13,22
402,16558,2022-05-05,rt3,4,8
403,16558,2022-05-05,rt4,2,3
404,16559,2022-05-05,rt1,16,30
405,16559,2022-05-05,rt2,24,41
406,16559,2022-05-05,rt3,20,32
407,16559,2022-05-05,rt4,13,18
408,16560,2022-05-05,rt1,17,34
409,16560,2022-05-05,rt2,19,34
410,16560,2022-05-05,rt3,10,20
411,16560,2022-05-05,rt4,4,7
412,16561,2022-05-05,rt1,13,18
413,16561,2022-05-05,rt2,15,24
414,16561,2022-05-05,rt3,12,21
415,16561,2022-05-05,rt4,6,10
416,16562,2022-05-05,rt1,15,31
417,16562,2022-05-05,rt2,20,43
418,16562,2022-05-05,rt3,9,18
419,16562,2022-05-05,rt4,3,6
420,16563,2022-05-05,rt1,30,41
421,16563,2022-05-05,rt2,25,38
422,16563,2022-05-05,rt3,14,20
423,16563,2022-05-05,rt4,12,18
424,17558,2022-05-05,rt1,10,19
425,17558,2022-05-05,rt2,29,50
426,17558,2022-05-05,rt3,14,27
427,17558,2022-05-05,rt4,3,6
428,17559,2022-05-05,rt1,21,32
429,17559,2022-05-05,rt2,26,39
430,17559,2022-05-05,rt3,10,16
431,17559,2022-05-05,rt4,8,14
432,17560,2022-05-05,rt1,20,40
433,17560,2022-05-05,rt2,20,45
434,17560,2022-05-05,rt3,13,25
435,17560,2022-05-05,rt4,6,13
436,17561,2022-05-05,rt1,15,26
437,17561,2022-05-05,rt2,25,36
438,17561,2022-05-05,rt3,11,19
439,17561,2022-05-05,rt4,3,4
440,17562,2022-05-05,rt1,8,20
441,17562,2022-05-05,rt2,13,30
442,17562,2022-05-05,rt3,11,27
443,17562,2022-05-05,rt4,3,6
444,17563,2022-05-05,rt1,18,25
445,17563,2022-05-05,rt2,28,44
446,17563,2022-05-05,rt3,10,16
447,17563,2022-05-05,rt4,12,19
448,17564,2022-05-05,rt1,6,16
449,17564,2022-05-05,rt2,18,40
450,17564,2022-05-05,rt3,12,24
451,17564,2022-05-05,rt4,7,17
452,18558,2022-05-05,rt1,8,15
453,18558,2022-05-05,rt2,15,30
454,18558,2022-05-05,rt3,12,26
455,18558,2022-05-05,rt4,11,20
456,18559,2022-05-05,rt1,16,42
457,18559,2022-05-05,rt2,22,44
458,18559,2022-05-05,rt3,10,23
459,18559,2022-05-05,rt4,8,19
460,18560,2022-05-05,rt1,15,30
461,18560,2022-05-05,rt2,26,40
462,18560,2022-05-05,rt3,16,24
463,18560,2022-05-05,rt4,10,15
464,18561,2022-05-05,rt1,25,33
465,18561,2022-05-05,rt2,26,40
466,18561,2022-05-05,rt3,15,25
467,18561,2022-05-05,rt4,5,9
468,18562,2022-05-05,rt1,24,38
469,18562,2022-05-05,rt2,22,34
470,18562,2022-05-05,rt3,18,29
471,18562,2022-05-05,rt4,12,20
472,18563,2022-05-05,rt1,14,27
473,18563,2022-05-05,rt2,14,29
474,18563,2022-05-05,rt3,11,23
475,18563,2022-05-05,rt4,10,18
476,19558,2022-05-05,rt1,18,40
477,19558,2022-05-05,rt2,20,39
478,19558,2022-05-05,rt3,9,21
479,19558,2022-05-05,rt4,3,7
480,19559,2022-05-05,rt1,13,24
481,19559,2022-05-05,rt2,23,41
482,19559,2022-05-05,rt3,14,27
483,19559,2022-05-05,rt4,2,3
484,19560,2022-05-05,rt1,18,26
485,19560,2022-05-05,rt2,27,38
486,19560,2022-05-05,rt3,12,19
487,19560,2022-05-05,rt4,10,16
488,19561,2022-05-05,rt1,17,36
489,19561,2022-05-05,rt2,21,45
490,19561,2022-05-05,rt3,14,29
491,19561,2022-05-05,rt4,4,7
492,19562,2022-05-05,rt1,19,30
493,19562,2022-05-05,rt2,15,23
494,19562,2022-05-05,rt3,19,29
495,19562,2022-05-05,rt4,9,14
496,19563,2022-05-05,rt1,14,30
497,19563,2022-05-05,rt2,22,45
498,19563,2022-05-05,rt3,14,29
499,19563,2022-05-05,rt4,3,6
500,16558,2022-05-06,rt1,10,19
501,16558,2022-05-06,rt2,15,22
502,16558,2022-05-06,rt3,5,8
503,16558,2022-05-06,rt4,2,3
504,16559,2022-05-06,rt1,21,30
505,16559,2022-05-06,rt2,23,41
506,16559,2022-05-06,rt3,20,32
507,16559,2022-05-06,rt4,11,18
508,16560,2022-05-06,rt1,19,34
509,16560,2022-05-06,rt2,18,34
510,16560,2022-05-06,rt3,11,20
511,16560,2022-05-06,rt4,4,7
512,16561,2022-05-06,rt1,12,18
513,16561,2022-05-06,rt2,14,24
514,16561,2022-05-06,rt3,12,21
515,16561,2022-05-06,rt4,6,10
516,16562,2022-05-06,rt1,14,31
517,16562,2022-05-06,rt2,24,43
518,16562,2022-05-06,rt3,9,18
519,16562,2022-05-06,rt4,3,6
520,16563,2022-05-06,rt1,23,41
521,16563,2022-05-06,rt2,27,38
522,16563,2022-05-06,rt3,15,20
523,16563,2022-05-06,rt4,11,18
524,17558,2022-05-06,rt1,9,19
525,17558,2022-05-06,rt2,29,50
526,17558,2022-05-06,rt3,12,27
527,17558,2022-05-06,rt4,3,6
528,17559,2022-05-06,rt1,19,32
529,17559,2022-05-06,rt2,25,39
530,17559,2022-05-06,rt3,11,16
531,17559,2022-05-06,rt4,8,14
532,17560,2022-05-06,rt1,18,40
533,17560,2022-05-06,rt2,22,45
534,17560,2022-05-06,rt3,12,25
535,17560,2022-05-06,rt4,5,13
536,17561,2022-05-06,rt1,16,26
537,17561,2022-05-06,rt2,20,36
538,17561,2022-05-06,rt3,13,19
539,17561,2022-05-06,rt4,3,4
540,17562,2022-05-06,rt1,8,20
541,17562,2022-05-06,rt2,12,30
542,17562,2022-05-06,rt3,10,27
543,17562,2022-05-06,rt4,2,6
544,17563,2022-05-06,rt1,14,25
545,17563,2022-05-06,rt2,28,44
546,17563,2022-05-06,rt3,10,16
547,17563,2022-05-06,rt4,12,19
548,17564,2022-05-06,rt1,7,16
549,17564,2022-05-06,rt2,18,40
550,17564,2022-05-06,rt3,10,24
551,17564,2022-05-06,rt4,7,17
552,18558,2022-05-06,rt1,7,15
553,18558,2022-05-06,rt2,17,30
554,18558,2022-05-06,rt3,14,26
555,18558,2022-05-06,rt4,11,20
556,18559,2022-05-06,rt1,18,42
557,18559,2022-05-06,rt2,20,44
558,18559,2022-05-06,rt3,9,23
559,18559,2022-05-06,rt4,9,19
560,18560,2022-05-06,rt1,20,30
561,18560,2022-05-06,rt2,24,40
562,18560,2022-05-06,rt3,14,24
563,18560,2022-05-06,rt4,9,15
564,18561,2022-05-06,rt1,23,33
565,18561,2022-05-06,rt2,23,40
566,18561,2022-05-06,rt3,17,25
567,18561,2022-05-06,rt4,4,9
568,18562,2022-05-06,rt1,24,38
569,18562,2022-05-06,rt2,26,34
570,18562,2022-05-06,rt3,21,29
571,18562,2022-05-06,rt4,14,20
572,18563,2022-05-06,rt1,12,27
573,18563,2022-05-06,rt2,15,29
574,18563,2022-05-06,rt3,12,23
575,18563,2022-05-06,rt4,9,18
576,19558,2022-05-06,rt1,18,40
577,19558,2022-05-06,rt2,14,39
578,19558,2022-05-06,rt3,10,21
579,19558,2022-05-06,rt4,3,7
580,19559,2022-05-06,rt1,14,24
581,19559,2022-05-06,rt2,20,41
582,19559,2022-05-06,rt3,13,27
583,19559,2022-05-06,rt4,2,3
584,19560,2022-05-06,rt1,17,26
585,19560,2022-05-06,rt2,22,38
586,19560,2022-05-06,rt3,13,19
587,19560,2022-05-06,rt4,9,16
588,19561,2022-05-06,rt1,20,36
589,19561,2022-05-06,rt2,24,45
590,19561,2022-05-06,rt3,13,29
591,19561,2022-05-06,rt4,3,7
592,19562,2022-05-06,rt1,18,30
593,19562,2022-05-06,rt2,18,23
594,19562,2022-05-06,rt3,20,29
595,19562,2022-05-06,rt4,8,14
596,19563,2022-05-06,rt1,15,30
597,19563,2022-05-06,rt2,23,45
598,19563,2022-05-06,rt3,14,29
599,19563,2022-05-06,rt4,3,6
600,16558,2022-05-07,rt1,17,19
601,16558,2022-05-07,rt2,18,22
602,16558,2022-05-07,rt3,7,8
603,16558,2022-05-07,rt4,3,3
604,16559,2022-05-07,rt2,36,41
605,16559,2022-05-07,rt1,28,30
606,16559,2022-05-07,rt3,28,32
607,16559,2022-05-07,rt4,16,18
608,16560,2022-05-07,rt1,26,34
609,16560,2022-05-07,rt2,24,34
610,16560,2022-05-07,rt3,14,20
611,16560,2022-05-07,rt4,5,7
612,16561,2022-05-07,rt1,15,18
613,16561,2022-05-07,rt2,21,24
614,16561,2022-05-07,rt3,20,21
615,16561,2022-05-07,rt4,9,10
616,16562,2022-05-07,rt1,25,31
617,16562,2022-05-07,rt2,31,43
618,16562,2022-05-07,rt3,14,18
619,16562,2022-05-07,rt4,4,6
620,16563,2022-05-07,rt1,37,41
621,16563,2022-05-07,rt2,37,38
622,16563,2022-05-07,rt3,17,20
623,16563,2022-05-07,rt4,15,18
624,17558,2022-05-07,rt1,15,19
625,17558,2022-05-07,rt2,39,50
626,17558,2022-05-07,rt3,19,27
627,17558,2022-05-07,rt4,5,6
628,17559,2022-05-07,rt1,29,32
629,17559,2022-05-07,rt2,33,39
630,17559,2022-05-07,rt3,14,16
631,17559,2022-05-07,rt4,14,14
632,17560,2022-05-07,rt1,31,40
633,17560,2022-05-07,rt2,31,45
634,17560,2022-05-07,rt3,18,25
635,17560,2022-05-07,rt4,10,13
636,17561,2022-05-07,rt1,22,26
637,17561,2022-05-07,rt2,30,36
638,17561,2022-05-07,rt3,19,19
639,17561,2022-05-07,rt4,4,4
640,17562,2022-05-07,rt1,13,20
641,17562,2022-05-07,rt2,16,30
642,17562,2022-05-07,rt3,16,27
643,17562,2022-05-07,rt4,3,6
644,17563,2022-05-07,rt1,21,25
645,17563,2022-05-07,rt2,39,44
646,17563,2022-05-07,rt3,15,16
647,17563,2022-05-07,rt4,16,19
648,17564,2022-05-07,rt1,9,16
649,17564,2022-05-07,rt2,21,40
650,17564,2022-05-07,rt3,15,24
651,17564,2022-05-07,rt4,12,17
652,18558,2022-05-07,rt1,11,15
653,18558,2022-05-07,rt2,22,30
654,18558,2022-05-07,rt3,19,26
655,18558,2022-05-07,rt4,15,20
656,18559,2022-05-07,rt1,22,42
657,18559,2022-05-07,rt2,28,44
658,18559,2022-05-07,rt3,15,23
659,18559,2022-05-07,rt4,13,19
660,18560,2022-05-07,rt1,28,30
661,18560,2022-05-07,rt2,38,40
662,18560,2022-05-07,rt3,20,24
663,18560,2022-05-07,rt4,14,15
664,18561,2022-05-07,rt1,28,33
665,18561,2022-05-07,rt2,40,40
666,18561,2022-05-07,rt3,21,25
667,18561,2022-05-07,rt4,8,9
668,18562,2022-05-07,rt1,33,38
669,18562,2022-05-07,rt2,28,34
670,18562,2022-05-07,rt3,29,29
671,18562,2022-05-07,rt4,19,20
672,18563,2022-05-07,rt1,20,27
673,18563,2022-05-07,rt2,20,29
674,18563,2022-05-07,rt3,18,23
675,18563,2022-05-07,rt4,12,18
676,19558,2022-05-07,rt1,22,40
677,19558,2022-05-07,rt2,23,39
678,19558,2022-05-07,rt3,12,21
679,19558,2022-05-07,rt4,4,7
680,19559,2022-05-07,rt1,18,24
681,19559,2022-05-07,rt2,28,41
682,19559,2022-05-07,rt3,20,27
683,19559,2022-05-07,rt4,2,3
684,19560,2022-05-07,rt1,26,26
685,19560,2022-05-07,rt2,33,38
686,19560,2022-05-07,rt3,16,19
687,19560,2022-05-07,rt4,16,16
688,19561,2022-05-07,rt1,26,36
689,19561,2022-05-07,rt2,34,45
690,19561,2022-05-07,rt3,22,29
691,19561,2022-05-07,rt4,5,7
692,19562,2022-05-07,rt1,28,30
693,19562,2022-05-07,rt2,22,23
694,19562,2022-05-07,rt3,26,29
695,19562,2022-05-07,rt4,13,14
696,19563,2022-05-07,rt3,20,29
